"lhs";"op";"rhs";"mi";"epc";"sepc.lv";"sepc.all";"sepc.nox"
"156";"conhecimento";"=~";"Q38";0,00284576330207059;-0,00218554337979019;-0,00218554337979019;-0,00281059602173818;-0,00281059602173818
"157";"conhecimento";"=~";"Q39";0,917034459780216;0,0552387406379953;0,0552387406379953;0,0523779452382067;0,0523779452382067
"158";"conhecimento";"=~";"Q40";0,474507274702128;-0,0330177685843475;-0,0330177685843475;-0,0353093504615392;-0,0353093504615392
"159";"conhecimento";"=~";"Q41";0,995291407726454;0,0524053139308624;0,0524053139308624;0,0575753797623042;0,0575753797623042
"160";"confianca";"=~";"Q6";2,04439525957667;-0,120470082138507;-0,120470082138507;-0,100398438017244;-0,100398438017244
"161";"confianca";"=~";"Q7";0,312347062155052;0,0479850257335323;0,0479850257335323;0,0408189480787053;0,0408189480787053
"162";"confianca";"=~";"Q8";0,610813176531741;0,08253920848964;0,08253920848964;0,0552300313141613;0,0552300313141613
"163";"confianca";"=~";"Q12";1,30761254771082;0,098117811951643;0,098117811951643;0,0926471899705476;0,0926471899705476
"164";"confianca";"=~";"Q13";0,00126110634172512;-0,00345645244682059;-0,00345645244682059;-0,00292527183182134;-0,00292527183182134
"165";"confianca";"=~";"Q14";3,44790514917744;-0,163516507895239;-0,163516507895239;-0,153112514078042;-0,153112514078042
"166";"confianca";"=~";"Q15";0,118110853588977;0,0350297169971972;0,0350297169971972;0,0277166196717152;0,0277166196717152
"167";"confianca";"=~";"Q16";1,49197337756549;-0,0984152998158678;-0,0984152998158678;-0,0993162743572212;-0,0993162743572212
"168";"confianca";"=~";"Q17";1,61567268561367;0,116761373027429;0,116761373027429;0,106551274006842;0,106551274006842
"169";"confianca";"=~";"Q18";0,0152801588919421;-0,0123989062787877;-0,0123989062787877;-0,0102075620997788;-0,0102075620997788
"170";"confianca";"=~";"Q20";2,22578010166656;-0,10540416698005;-0,10540416698005;-0,103983262473575;-0,103983262473575
"171";"confianca";"=~";"Q21";0,17768155069473;0,0316731727367967;0,0316731727367967;0,0287327127417945;0,0287327127417945
"172";"confianca";"=~";"Q22";0,684218102829024;0,0582038851184374;0,0582038851184374;0,057010724983468;0,057010724983468
"173";"confianca";"=~";"Q23";0,397960305115932;0,0403164191250977;0,0403164191250977;0,0514282142501357;0,0514282142501357
"174";"confianca";"=~";"Q24";2,52531729181464;-0,123120919392311;-0,123120919392311;-0,114664287590036;-0,114664287590036
"175";"confianca";"=~";"Q25";2,22979412758217;0,115022328274472;0,115022328274472;0,110471772495644;0,110471772495644
"176";"confianca";"=~";"Q26";10,6855177009381;-0,272828473185592;-0,272828473185592;-0,260730270932275;-0,260730270932275
"177";"confianca";"=~";"Q27";0,0159351432291016;-0,00857760402288111;-0,00857760402288111;-0,010557938119167;-0,010557938119167
"178";"confianca";"=~";"Q28";3,29781827441263;0,124825295470628;0,124825295470628;0,159777725793241;0,159777725793241
"179";"confianca";"=~";"Q30";1,03761273347313;-0,0848560672261401;-0,0848560672261401;-0,0857512483263813;-0,0857512483263813
"180";"confianca";"=~";"Q31";1,03756302236805;0,071143470761365;0,071143470761365;0,0700414462448527;0,0700414462448527
"181";"confianca";"=~";"Q32";8,15830819144356;-0,214745790789278;-0,214745790789278;-0,216074767675175;-0,216074767675175
"182";"confianca";"=~";"Q33";11,27425731824;0,265290225696272;0,265290225696272;0,248217578510415;0,248217578510415
"183";"confianca";"=~";"Q34";0,549330157166351;-0,0692387330913757;-0,0692387330913757;-0,0651244609022557;-0,0651244609022557
"184";"confianca";"=~";"Q35";0,337650713531633;-0,0327508860169193;-0,0327508860169193;-0,0394223491377989;-0,0394223491377989
"185";"confianca";"=~";"Q36";0,0437284954194296;-0,0109525501370687;-0,0109525501370687;-0,0136737865819999;-0,0136737865819999
"186";"confianca";"=~";"Q37";1,36035627756719;-0,055451137487395;-0,055451137487395;-0,0735547374198727;-0,0735547374198727
"187";"confianca";"=~";"Q38";1,17170726122189e-06;-4,99668355291324e-05;-4,99668355291324e-05;-6,42570586590265e-05;-6,42570586590265e-05
"188";"confianca";"=~";"Q39";0,185224952510089;0,0285647638156989;0,0285647638156989;0,0270854045114104;0,0270854045114104
"189";"confianca";"=~";"Q40";2,95442244297988;0,0943872378174458;0,0943872378174458;0,10093813731473;0,10093813731473
"190";"confianca";"=~";"Q41";0,00923711259660803;0,00582708780036972;0,00582708780036972;0,00640196132508991;0,00640196132508991
"191";"apoio.ambiental.animal";"=~";"Q6";0,404626406824106;0,0540928726222246;0,0540928726222246;0,0450804035552424;0,0450804035552424
"192";"apoio.ambiental.animal";"=~";"Q7";1,37992933899702;0,106372236687565;0,106372236687565;0,0904866203568846;0,0904866203568846
"193";"apoio.ambiental.animal";"=~";"Q8";4,18164760431562;-0,216879030927128;-0,216879030927128;-0,145121765627226;-0,145121765627226
"194";"apoio.ambiental.animal";"=~";"Q9";0,491202763920874;0,0428202895297425;0,0428202895297425;0,0569598239585125;0,0569598239585125
"195";"apoio.ambiental.animal";"=~";"Q10";0,0792737609645379;0,0238237297612565;0,0238237297612565;0,0236959624033951;0,0236959624033951
"196";"apoio.ambiental.animal";"=~";"Q11";1,25083468145219;-0,0742578780327668;-0,0742578780327668;-0,0852435453447885;-0,0852435453447885
"197";"apoio.ambiental.animal";"=~";"Q16";0,38402642720419;-0,114178749082868;-0,114178749082868;-0,115224035194679;-0,115224035194679
"198";"apoio.ambiental.animal";"=~";"Q17";0,289719975208901;0,112662058516027;0,112662058516027;0,102810420568591;0,102810420568591
"199";"apoio.ambiental.animal";"=~";"Q18";0,00424903733985112;-0,0149114012232956;-0,0149114012232956;-0,012276006492759;-0,012276006492759
"200";"apoio.ambiental.animal";"=~";"Q20";2,32499730653627;0,0947956527837196;0,0947956527837196;0,0935177567185655;0,0935177567185655
"201";"apoio.ambiental.animal";"=~";"Q21";1,41685689182283;-0,0793108465664809;-0,0793108465664809;-0,0719478212883862;-0,0719478212883862
"202";"apoio.ambiental.animal";"=~";"Q22";0,0171616609394656;-0,00819878638423205;-0,00819878638423205;-0,00803071401159077;-0,00803071401159077
"203";"apoio.ambiental.animal";"=~";"Q23";0,0241930114308341;0,0129091047968228;0,0129091047968228;0,0164670429982501;0,0164670429982501
"204";"apoio.ambiental.animal";"=~";"Q24";0,283350187528905;0,0598167518364334;0,0598167518364334;0,0557082035216104;0,0557082035216104
"205";"apoio.ambiental.animal";"=~";"Q25";0,252411680584755;-0,0561098148314636;-0,0561098148314636;-0,0538899776401925;-0,0538899776401925
"206";"apoio.ambiental.animal";"=~";"Q26";90,6010351526494;0,790977738523502;0,790977738523502;0,755902921929783;0,755902921929783
"207";"apoio.ambiental.animal";"=~";"Q27";2,55143999620705;-0,11212695954825;-0,11212695954825;-0,138014006853529;-0,138014006853529
"208";"apoio.ambiental.animal";"=~";"Q28";12,7622993094854;-0,253736528595296;-0,253736528595296;-0,324785495894683;-0,324785495894683
"209";"apoio.ambiental.animal";"=~";"Q30";0,630961702410615;0,0641630389469097;0,0641630389469097;0,0648399208915589;0,0648399208915589
"210";"apoio.ambiental.animal";"=~";"Q31";0,666119628184987;-0,0553035361939066;-0,0553035361939066;-0,0544468749699983;-0,0544468749699983
"211";"apoio.ambiental.animal";"=~";"Q32";4,02819188120165;0,199998801060462;0,199998801060462;0,201236514651214;0,201236514651214
"212";"apoio.ambiental.animal";"=~";"Q33";14,4725737959456;-0,407305860244295;-0,407305860244295;-0,381093853260501;-0,381093853260501
"213";"apoio.ambiental.animal";"=~";"Q34";2,79700599995329;0,217336723199491;0,217336723199491;0,204422240279157;0,204422240279157
"214";"apoio.ambiental.animal";"=~";"Q35";0,379716052953195;0,0410672836365406;0,0410672836365406;0,0494328242852529;0,0494328242852529
"215";"apoio.ambiental.animal";"=~";"Q36";0,490877103703697;-0,0435178817139237;-0,0435178817139237;-0,0543301988678378;-0,0543301988678378
"216";"apoio.ambiental.animal";"=~";"Q37";2,0317489736766;0,0806679432532943;0,0806679432532943;0,107004286170794;0,107004286170794
"217";"apoio.ambiental.animal";"=~";"Q38";5,61387752200809;-0,131293744459879;-0,131293744459879;-0,168842988553935;-0,168842988553935
"218";"apoio.ambiental.animal";"=~";"Q39";1,8032566424734;-0,0928204375976571;-0,0928204375976571;-0,0880132990239168;-0,0880132990239168
"219";"apoio.ambiental.animal";"=~";"Q40";0,703009921781538;-0,049524985310908;-0,049524985310908;-0,0529622423901301;-0,0529622423901301
"220";"apoio.ambiental.animal";"=~";"Q41";22,1664841246896;0,290689946712487;0,290689946712487;0,319368072045819;0,319368072045819
"221";"apoio.social";"=~";"Q6";0,396575885967768;0,0497689645033383;0,0497689645033383;0,0414769062091781;0,0414769062091781
"222";"apoio.social";"=~";"Q7";1,26187120852279;0,0949709152936042;0,0949709152936042;0,0807879708533268;0,0807879708533268
"223";"apoio.social";"=~";"Q8";3,81807928388835;-0,19250582399007;-0,19250582399007;-0,128812753134948;-0,128812753134948
"224";"apoio.social";"=~";"Q9";0,549438690284298;0,0452403348751684;0,0452403348751684;0,060178983809156;0,060178983809156
"225";"apoio.social";"=~";"Q10";0,0594980659501284;0,0206268780965737;0,0206268780965737;0,0205162555474708;0,0205162555474708
"226";"apoio.social";"=~";"Q11";1,31773098452427;-0,0760101327947284;-0,0760101327947284;-0,0872550276576952;-0,0872550276576952
"227";"apoio.social";"=~";"Q12";0,0695123822587367;0,0534867077312187;0,0534867077312187;0,0505045217938169;0,0505045217938169
"228";"apoio.social";"=~";"Q13";5,12539321940744;-0,542470822261535;-0,542470822261535;-0,459105004440698;-0,459105004440698
"229";"apoio.social";"=~";"Q14";1,31180987069009;0,233937914898603;0,233937914898603;0,219053248808667;0,219053248808667
"230";"apoio.social";"=~";"Q15";1,84213142931086;0,333536442159902;0,333536442159902;0,26390457892488;0,26390457892488
"231";"apoio.social";"=~";"Q20";2,69380072715492;0,104365342262352;0,104365342262352;0,102958441668294;0,102958441668294
"232";"apoio.social";"=~";"Q21";1,70681418459507;-0,0892459857046342;-0,0892459857046342;-0,0809606063755801;-0,0809606063755801
"233";"apoio.social";"=~";"Q22";0,0144619229930512;-0,00772361279966467;-0,00772361279966467;-0,0075652813262287;-0,0075652813262287
"234";"apoio.social";"=~";"Q23";0,680618155896359;-0,0621216708979886;-0,0621216708979886;-0,0792433125224992;-0,0792433125224992
"235";"apoio.social";"=~";"Q24";4,24879451457322;0,191470676611936;0,191470676611936;0,178319402067923;0,178319402067923
"236";"apoio.social";"=~";"Q25";3,73982801922053;-0,178600265389751;-0,178600265389751;-0,171534415811136;-0,171534415811136
"237";"apoio.social";"=~";"Q26";89,2104230842057;0,837282193479502;0,837282193479502;0,800154069711696;0,800154069711696
"238";"apoio.social";"=~";"Q27";4,18716512102553;-0,154286707982889;-0,154286707982889;-0,189907287763349;-0,189907287763349
"239";"apoio.social";"=~";"Q28";9,57711771556847;-0,236487563163798;-0,236487563163798;-0,302706633925721;-0,302706633925721
"240";"apoio.social";"=~";"Q30";0,609431268191452;0,0597055099610942;0,0597055099610942;0,0603353676229512;0,0603353676229512
"241";"apoio.social";"=~";"Q31";0,609371182698853;-0,05005593225351;-0,05005593225351;-0,049280557311159;-0,049280557311159
"242";"apoio.social";"=~";"Q32";12,8964750933211;0,363733284758325;0,363733284758325;0,365984286402169;0,365984286402169
"243";"apoio.social";"=~";"Q33";18,6492571355579;-0,470109965954472;-0,470109965954472;-0,439856225673498;-0,439856225673498
"244";"apoio.social";"=~";"Q34";0,992231252504411;0,133900849054304;0,133900849054304;0,125944254316549;0,125944254316549
"245";"apoio.social";"=~";"Q35";1,63946252241564;0,0890948584130278;0,0890948584130278;0,107243773891389;0,107243773891389
"246";"apoio.social";"=~";"Q36";0,261820118472155;0,0332291018579173;0,0332291018579173;0,0414851008605656;0,0414851008605656
"247";"apoio.social";"=~";"Q37";0,617869695255306;0,0465967191634262;0,0465967191634262;0,0618095425629903;0,0618095425629903
"248";"apoio.social";"=~";"Q38";9,41189709198062;-0,179088891942346;-0,179088891942346;-0,2303072690687;-0,2303072690687
"249";"apoio.social";"=~";"Q39";1,76111206599822;-0,0926640201271936;-0,0926640201271936;-0,0878649823605098;-0,0878649823605098
"250";"apoio.social";"=~";"Q40";1,95910924554231;-0,0841219714598663;-0,0841219714598663;-0,0899604152292754;-0,0899604152292754
"251";"apoio.social";"=~";"Q41";23,4738821845448;0,300798217639472;0,300798217639472;0,330473578218899;0,330473578218899
"252";"status";"=~";"Q6";0,325013318749516;-0,0398903084687645;-0,0398903084687645;-0,0332441432030025;-0,0332441432030025
"253";"status";"=~";"Q7";0,0380270526814554;-0,0137766710433762;-0,0137766710433762;-0,0117192647377076;-0,0117192647377076
"254";"status";"=~";"Q8";0,789382029996334;0,0779873993206883;0,0779873993206883;0,0521842477703459;0,0521842477703459
"255";"status";"=~";"Q9";0,0434758742399312;-0,0114868046508563;-0,0114868046508563;-0,0152798212703381;-0,0152798212703381
"256";"status";"=~";"Q10";1,03813533811342;0,0772167831433333;0,0772167831433333;0,0768026672822298;0,0768026672822298
"257";"status";"=~";"Q11";1,24901329597815;-0,0686548865095437;-0,0686548865095437;-0,0788116505124909;-0,0788116505124909
"258";"status";"=~";"Q12";0,705320760651667;0,0595226407607583;0,0595226407607583;0,0562039174785969;0,0562039174785969
"259";"status";"=~";"Q13";5,11767650864964;-0,181689347593959;-0,181689347593959;-0,153767696456375;-0,153767696456375
"260";"status";"=~";"Q14";0,31601780583684;-0,0409112924222538;-0,0409112924222538;-0,038308247390939;-0,038308247390939
"261";"status";"=~";"Q15";4,60329018735208;0,180546089577526;0,180546089577526;0,142853774651851;0,142853774651851
"262";"status";"=~";"Q16";0,109106365820753;-0,0221900498199066;-0,0221900498199066;-0,022393195773803;-0,022393195773803
"263";"status";"=~";"Q17";0,00163570113789547;0,00306960860354957;0,00306960860354957;0,00280118928829088;0,00280118928829088
"264";"status";"=~";"Q18";0,417565385382353;0,0547081294217923;0,0547081294217923;0,0450391845763902;0,0450391845763902
"265";"status";"=~";"Q23";1,07985679633513;-0,0566890566619551;-0,0566890566619551;-0,0723133902989468;-0,0723133902989468
"266";"status";"=~";"Q24";3,22423660484226;0,11635650395946;0,11635650395946;0,108364489956951;0,108364489956951
"267";"status";"=~";"Q25";3,11784718980398;-0,11315980029948;-0,11315980029948;-0,108682930539419;-0,108682930539419
"268";"status";"=~";"Q26";1,51638613268952;-0,110215731721766;-0,110215731721766;-0,105328367150546;-0,105328367150546
"269";"status";"=~";"Q27";4,68532940798463;-0,16119847810049;-0,16119847810049;-0,198414796503653;-0,198414796503653
"270";"status";"=~";"Q28";8,54880801078556;0,218782691062284;0,218782691062284;0,280044206497253;0,280044206497253
"271";"status";"=~";"Q30";1,6104941658544;0,0883961155721674;0,0883961155721674;0,0893286420794832;0,0893286420794832
"272";"status";"=~";"Q31";1,4566421034209;-0,0713748541851098;-0,0713748541851098;-0,0702692454998333;-0,0702692454998333
"273";"status";"=~";"Q32";0,00615073668993432;-0,00545369008484399;-0,00545369008484399;-0,00548744081885822;-0,00548744081885822
"274";"status";"=~";"Q33";1,55455814634653;0,0910788462447811;0,0910788462447811;0,0852175032422225;0,0852175032422225
"275";"status";"=~";"Q34";0,618065798197813;-0,0651221509367894;-0,0651221509367894;-0,0612524924012798;-0,0612524924012798
"276";"status";"=~";"Q35";0,730476531350226;0,0435480423025095;0,0435480423025095;0,0524189216447542;0,0524189216447542
"277";"status";"=~";"Q36";1,85073501808425;0,064261902297307;0,064261902297307;0,0802282141026451;0,0802282141026451
"278";"status";"=~";"Q37";6,27425424928988;-0,107050441808237;-0,107050441808237;-0,142000101254481;-0,142000101254481
"279";"status";"=~";"Q38";0,0377062942926175;0,00794820659042861;0,00794820659042861;0,0102213472537691;0,0102213472537691
"280";"status";"=~";"Q39";1,42411178167625;0,0708206773618587;0,0708206773618587;0,0671528988124803;0,0671528988124803
"281";"status";"=~";"Q40";1,06886752077597;-0,05098496031343;-0,05098496031343;-0,054523546234678;-0,054523546234678
"282";"status";"=~";"Q41";0,00740865831316726;0,0046490259020588;0,0046490259020588;0,00510767728992058;0,00510767728992058
"283";"sacrificio";"=~";"Q6";1,90982728093049;0,131910292277801;0,131910292277801;0,109932582994863;0,109932582994863
"284";"sacrificio";"=~";"Q7";1,015198284047;0,10508758500669;0,10508758500669;0,0893938183950379;0,0893938183950379
"285";"sacrificio";"=~";"Q8";6,54123029365246;-0,303651247477681;-0,303651247477681;-0,203184258895352;-0,203184258895352
"286";"sacrificio";"=~";"Q9";0,590693230460441;0,0422280056485305;0,0422280056485305;0,0561719641383712;0,0561719641383712
"287";"sacrificio";"=~";"Q10";0,658534080132456;-0,061518581097513;-0,061518581097513;-0,0611886551520385;-0,0611886551520385
"288";"sacrificio";"=~";"Q11";0,00615694854776042;0,00476655152877953;0,00476655152877953;0,0054717123912765;0,0054717123912765
"289";"sacrificio";"=~";"Q12";0,438499523097997;-0,0704283668833703;-0,0704283668833703;-0,0665015877970745;-0,0665015877970745
"290";"sacrificio";"=~";"Q13";35,3698483696652;0,736156694179048;0,736156694179048;0,623025623647605;0,623025623647605
"291";"sacrificio";"=~";"Q14";8,96066990833494;-0,322707284226817;-0,322707284226817;-0,302174528035551;-0,302174528035551
"292";"sacrificio";"=~";"Q15";13,6021638795948;-0,471822717148396;-0,471822717148396;-0,373321052086253;-0,373321052086253
"293";"sacrificio";"=~";"Q16";8,96395068821947;-0,266249174884896;-0,266249174884896;-0,268686638660106;-0,268686638660106
"294";"sacrificio";"=~";"Q17";3,7633264984807;0,196750597072018;0,196750597072018;0,179545908343383;0,179545908343383
"295";"sacrificio";"=~";"Q18";1,9381040709127;0,153658213645045;0,153658213645045;0,126501138298485;0,126501138298485
"296";"sacrificio";"=~";"Q20";2,54437829390862;0,0944543250431001;0,0944543250431001;0,0931810302583197;0,0931810302583197
"297";"sacrificio";"=~";"Q21";2,8573324978098;-0,106492378383822;-0,106492378383822;-0,0966058860828324;-0,0966058860828324
"298";"sacrificio";"=~";"Q22";0,0886516371373663;0,0175681347137927;0,0175681347137927;0,0172079938410036;0,0172079938410036
"299";"sacrificio";"=~";"Q26";82,1840451092403;0,654731496360887;0,654731496360887;0,625698331412583;0,625698331412583
"300";"sacrificio";"=~";"Q27";1,39866620581899;-0,0698135156842674;-0,0698135156842674;-0,0859315464446463;-0,0859315464446463
"301";"sacrificio";"=~";"Q28";12,5625588897019;-0,211686854608447;-0,211686854608447;-0,270961459231002;-0,270961459231002
"302";"sacrificio";"=~";"Q30";1,25162911262675;-0,128183956722601;-0,128183956722601;-0,129536221317971;-0,129536221317971
"303";"sacrificio";"=~";"Q31";1,25177582625417;0,107478519983897;0,107478519983897;0,105813659347311;0,105813659347311
"304";"sacrificio";"=~";"Q32";0,608715680627667;0,0729849496378345;0,0729849496378345;0,0734366246659248;0,0734366246659248
"305";"sacrificio";"=~";"Q33";0,617295063317497;-0,077964078165851;-0,077964078165851;-0,0729467308580009;-0,0729467308580009
"306";"sacrificio";"=~";"Q34";0,00810925484656265;0,0107509700036376;0,0107509700036376;0,0101121308031332;0,0101121308031332
"307";"sacrificio";"=~";"Q35";0,292488783646526;-0,0273289522834205;-0,0273289522834205;-0,0328959496830307;-0,0328959496830307
"308";"sacrificio";"=~";"Q36";0,701587838843446;-0,039415502029124;-0,039415502029124;-0,0492085547222949;-0,0492085547222949
"309";"sacrificio";"=~";"Q37";0,162409129937972;-0,0172610514124241;-0,0172610514124241;-0,0228964122606211;-0,0228964122606211
"310";"sacrificio";"=~";"Q38";5,17311853300325;-0,0952306873996556;-0,0952306873996556;-0,12246610780087;-0,12246610780087
"311";"sacrificio";"=~";"Q39";2,08169161298774;0,0832941777089388;0,0832941777089388;0,0789804008619879;0,0789804008619879
"312";"sacrificio";"=~";"Q40";0,853183046883568;0,0444679128362888;0,0444679128362888;0,0475541863048263;0,0475541863048263
"313";"sacrificio";"=~";"Q41";13,2508767583178;0,190898284182603;0,190898284182603;0,209731425753617;0,209731425753617
"314";"eficacia";"=~";"Q6";0,0415696404360636;-0,0154176897011538;-0,0154176897011538;-0,0128489325843633;-0,0128489325843633
"315";"eficacia";"=~";"Q7";0,289869585425453;0,0416374490974786;0,0416374490974786;0,0354193177321154;0,0354193177321154
"316";"eficacia";"=~";"Q8";0,203169033440516;-0,0427055069780835;-0,0427055069780835;-0,0285758311818889;-0,0285758311818889
"317";"eficacia";"=~";"Q9";0,345934389375141;-0,0341209612611531;-0,0341209612611531;-0,0453879216622427;-0,0453879216622427
"318";"eficacia";"=~";"Q10";2,29842787886096;0,121326088821991;0,121326088821991;0,120675413467469;0,120675413467469
"319";"eficacia";"=~";"Q11";1,31941979218503;-0,0737399623900485;-0,0737399623900485;-0,0846490095629371;-0,0846490095629371
"320";"eficacia";"=~";"Q12";0,372500106542566;-0,0513398058535876;-0,0513398058535876;-0,0484773218170884;-0,0484773218170884
"321";"eficacia";"=~";"Q13";9,24333911709645;-0,292367979628121;-0,292367979628121;-0,247437460370491;-0,247437460370491
"322";"eficacia";"=~";"Q14";0,629278282768608;0,0682193286526229;0,0682193286526229;0,0638787670625362;0,0638787670625362
"323";"eficacia";"=~";"Q15";10,9367615622507;0,331725834923028;0,331725834923028;0,262471969230565;0,262471969230565
"324";"eficacia";"=~";"Q16";0,444819014705333;0,0563771403616867;0,0563771403616867;0,0568932630405305;0,0568932630405305
"325";"eficacia";"=~";"Q17";1,07424913830209;-0,0999494479386651;-0,0999494479386651;-0,0912094534178142;-0,0912094534178142
"326";"eficacia";"=~";"Q18";0,311502913218894;0,0584111656229565;0,0584111656229565;0,0480877576626937;0,0480877576626937
"327";"eficacia";"=~";"Q20";2,84809486324428;-0,137026824779743;-0,137026824779743;-0,1351796299447;-0,1351796299447
"328";"eficacia";"=~";"Q21";0,534943765722087;-0,066106624758611;-0,066106624758611;-0,0599694471817814;-0,0599694471817814
"329";"eficacia";"=~";"Q22";4,81567550209002;0,189298219647268;0,189298219647268;0,185417669597315;0,185417669597315
"330";"eficacia";"=~";"Q23";2,26027804066642;-0,0878852681208081;-0,0878852681208081;-0,112107734179544;-0,112107734179544
"331";"eficacia";"=~";"Q24";2,54209178032096;0,114735745717766;0,114735745717766;0,106855054435704;0,106855054435704
"332";"eficacia";"=~";"Q25";1,86090491178422;-0,0976002108418857;-0,0976002108418857;-0,0937389152993236;-0,0937389152993236
"333";"eficacia";"=~";"Q30";2,59467541450351;0,122422240304816;0,122422240304816;0,123713722214742;0,123713722214742
"334";"eficacia";"=~";"Q31";2,59469994017981;-0,102641957878276;-0,102641957878276;-0,101052016415002;-0,101052016415002
"335";"eficacia";"=~";"Q32";0,156201928999529;0,0381767057299704;0,0381767057299704;0,0384129662839415;0,0384129662839415
"336";"eficacia";"=~";"Q33";1,63369521291599;0,130716759107313;0,130716759107313;0,122304533954047;0,122304533954047
"337";"eficacia";"=~";"Q34";1,84802367390368;-0,166660145533953;-0,166660145533953;-0,156756942930576;-0,156756942930576
"338";"eficacia";"=~";"Q35";4,28581819570783;0,171838451911188;0,171838451911188;0,206842509330652;0,206842509330652
"339";"eficacia";"=~";"Q36";1,1526108054511;0,0829962556213968;0,0829962556213968;0,103617246419273;0,103617246419273
"340";"eficacia";"=~";"Q37";1,80681165873105;-0,0945981370582288;-0,0945981370582288;-0,125482387684272;-0,125482387684272
"341";"eficacia";"=~";"Q38";4,58860959640479;-0,147431063185995;-0,147431063185995;-0,189595486185667;-0,189595486185667
"342";"eficacia";"=~";"Q39";0,803803610778454;0,0719995392134683;0,0719995392134683;0,0682707078138054;0,0682707078138054
"343";"eficacia";"=~";"Q40";1,04296353411529;-0,0711802915589014;-0,0711802915589014;-0,0761205244438981;-0,0761205244438981
"344";"eficacia";"=~";"Q41";2,78939244238527;0,118617432682442;0,118617432682442;0,130319679834971;0,130319679834971
"345";"preço";"=~";"Q6";0,745928729921884;0,0627597083447019;0,0627597083447019;0,0523032488761941;0,0523032488761941
"346";"preço";"=~";"Q7";0,00148666735747337;-0,00287788068687711;-0,00287788068687711;-0,0024480983502371;-0,0024480983502371
