"PA7";"PA8";"PA3";"PA5";"PA22";"PA19";"PA9";"PA6";"PA15";"PA21";"PA16";"PA2";"PA11";"PA10";"PA1";"PA20";"PA4";"PA24";"PA14";"PA23";"PA18";"PA12";"PA13";"PA17"
"Dance";0,00426510576026111;-0,13628011501711;0,0678480012692979;0,0869128152803233;-0,0708523693239122;0,0316767804707589;0,103025929516155;-0,0745298223302414;0,0757431774939543;0,0071499181422471;0,1369845215364;-0,0171554873637591;0,0973519616010413;0,0874481122636943;-0,0155942237469843;0,54717351751925;0,050115079679778;0,0297558933204237;0,068235338938288;-0,015613373221595;-0,0331506235087621;0,0637495790870991;0,0670009850338746;-0,0303481777827907
"Folk";0,0322446236231025;-0,000272742154383275;-0,0606943237728657;0,112615061736823;0,315773896690791;-0,169835049097722;0,167506871660047;-0,0706591271466744;0,0319314948833516;0,0250576681014773;0,0514281983082282;-0,00317673056746149;-0,039903712375211;-0,035064751574212;0,0190925577646265;0,10264018401109;-0,0766008421071047;0,154142083582957;-0,0280282415897886;-0,0309830457122929;-0,0115572833216621;0,198843652301565;0,0540181783679937;0,0548161579878851
"Classical.music";0,0263043091072706;0,0128763686338706;-0,0561202559391606;-0,0490236277192081;0,639937343245981;0,0125254133407629;0,0550289253904221;0,0867779899911331;0,046667021100244;-0,00185584911729658;-0,101701932471969;0,0226100490147026;0,0438865896876735;-0,016586352493985;0,00560104075969163;-0,0232928051470891;0,02487601956597;0,118762669857333;0,0263973166947036;-0,00588598479254913;0,0770793128184378;0,106903207145151;-0,0104054237288666;-0,0456739306087626
"Musical";0,0552668031584621;0,0116378233048422;0,0607343929561245;-0,0214770405711003;0,479759935738696;-0,0177047828924709;-0,0170885974105148;-0,0167477994259876;0,0327135359955745;-0,00978231065530486;0,000596513631056429;0,0246827187537681;-0,011049323307917;-0,0363608893613822;0,169422491727969;0,204200949567306;-0,0206101587115252;-0,198180565720002;-0,0544330719321096;0,102621438280966;0,0144407731117217;0,0413721606467225;-0,120957838781363;0,12806919782183
"Pop";0,0264686415495417;-0,0150276032814533;0,134665108454056;-0,0210010358307201;0,0416463345089655;0,00395427068885517;0,06306518496426;-0,00891259269078631;-0,0526746010352309;0,0121644444890175;-0,0488010568368588;0,070071801852888;0,00889052632181139;0,00682287827757731;-0,0614644570816448;0,569985069056804;0,0706714409680291;-0,0969748864021781;-0,0149097874949704;0,101433307376259;0,0118720611887493;-0,094077916422948;0,00234561196193621;0,0088237695494444
"Rock";0,0386251926995862;0,775579687614041;-0,0314787342359992;-0,0352541411994523;-0,0144120486560708;0,060142980887622;-0,0131801967395176;0,0153582491639516;-0,0289505592570982;-0,0203387205636278;-0,0791270705025854;0,00596409872739537;-0,0287121664483335;-0,0390204881043107;0,0290889896763665;0,0742818216627364;-0,00509329734420928;-0,00627598065479902;-0,0305903424877286;0,0446530314362018;0,00294964963389483;0,066866032532719;-0,0358209738364829;0,000529010121066415
"Metal.or.Hardrock";0,0204069949868805;0,659561974538327;-0,0773767593126292;-0,000736091097405111;0,0302162880286808;-0,033173209479657;-0,0260801751116976;-0,00886778255999396;0,0812607457872902;-0,0366549985092812;0,0848764693801639;-0,0275153039844326;-0,0463278259815515;0,0232371937008726;-0,0193890834565748;-0,153415453746119;-0,00970935579342495;0,000645916121540155;-0,0575003337199196;-0,0166473561155515;-0,0446568018187488;-0,0500464992010445;0,0215763081084699;-0,0111002033308719
"Punk";-0,0234805068993651;0,732368513033397;0,0629835903073873;0,0418977938139279;-0,048603087890424;-0,0440982038511333;0,0320570903036034;-0,0152014444276707;0,0102063829137224;0,0799327000109564;0,0760014797201258;0,0440649350329975;0,105378175770533;0,0493200356010487;-0,0122205819972713;-0,0723813454535527;-0,00973134398715667;-0,00807418536319165;0,0451658113718807;-0,04090961343482;0,0231444477022041;-0,0535418180095114;0,0324176375637878;-0,0159948533858871
"Swing..Jazz";-0,0405932142084828;0,120688329715574;-0,0629553913279303;0,00363545779198685;0,223573571312619;0,0247232934929999;-0,0249638821410891;0,0610697146541919;0,0229228301645676;0,0445721244041979;0,00436384435151919;-0,0265715505782338;-0,0129582642311487;-0,0363568665186477;0,0800947742979806;0,124748223640679;0,00818078735350795;0,130338337625259;-0,00368022896631438;0,0359594255030144;0,0566641295446821;0,400596603864511;0,0101854031364673;-0,0392807557704063
"Rock.n.roll";0,0252454918375275;0,442220168527768;-0,0634231617955232;-0,0525009462648886;0,0949036218404139;0,0282553817533518;-0,0380612543142384;0,0221207812161616;-0,0115180062255736;0,00729849493817187;0,0161350100874178;-0,0356165599801774;-0,0537786459215197;0,04254894698723;-0,0259048565765587;0,109893211247376;0,0200424772376018;-0,00224654228018019;0,0557700779972163;0,0167320685723346;-0,0107763076221933;0,428810290503911;-0,0757073762602684;0,0759673281241871
