"PA1";"PA2";"PA24";"PA5";"PA7";"PA8";"PA14";"PA3";"PA6";"PA4";"PA16";"PA9";"PA15";"PA19";"PA11";"PA10";"PA13";"PA23";"PA21";"PA22";"PA12";"PA18";"PA17";"PA20"
"Dance";-0,0636756984676727;0,0643960193994384;0,167755447309568;0,0901081622497601;0,0480656543742089;-0,157417686105214;0,0256573902050365;0,0824426548601125;-0,0708489071910141;0,00417604886413564;0,570727664883846;0,0938668553142184;0,142951379738606;0,0717773386129868;0,0512701684402704;0,0815395759238606;-0,0174896780658177;0,0534352349411292;0,0414031751725994;0,0200492473511105;0,0488006271970787;0,127476232146523;0,00360820224507556;-0,0157880820003283
"Folk";0,430520913381261;0,134308369876242;-0,115328366520583;0,0819589092186697;0,078663754176812;0,0375340769687824;0,0350694655898076;-0,162745350108038;-0,0270228655060428;0,0668485414545916;0,135871755415347;0,178045007943329;0,0220811436317952;-0,0446137599383178;0,00529594680086811;-0,0579511997584109;-0,0642783284960115;-0,00657799993379107;0,105020983449676;0,0626641973327661;0,0833151030910133;0,0290902138454273;0,111253792495356;0,0527523573878736
"Classical.music";0,680304056386543;0,204978948086289;-0,104751151714464;-0,0597261496866873;0,0778508894212567;0,0921632491173752;-0,0396382529298581;-0,0343392013630778;0,167430435486599;0,0359252887838661;-0,0234997699374698;0,0788342084359828;-0,143348377572229;0,0567391612814711;0,0301996392168988;-0,029030540908592;0,0016024286394882;-0,0476333978776604;-0,0235789726230228;-0,00992725515912764;0,00877353038080621;0,017274142030801;0,00124554697480517;0,175804167545358
"Musical";0,566334325732298;-0,102354853877404;0,119679975358703;0,00324856979329026;0,0969249918228216;0,019423847285147;-0,0209702369443906;-0,0328518473786068;-0,0290350231641768;0,0154811862748751;0,262836392617611;0,015780430834253;-0,0254104615008757;0,0509144409426631;0,0464564107806465;-0,0221260641663744;0,0708586602878094;0,0791084659075364;0,0810122549178636;-0,033795111034383;-0,106397680659605;-0,178340025632546;-0,0221525616764829;0,00212109125568557
"Pop";-0,0255786576429923;-0,043716653244673;0,278326785643556;0,0117701315157678;0,0457057162203549;-0,0855380347926517;-0,00878106764333401;0,00353444940579165;-0,0502071770516971;0,00523290452494295;0,588503513829927;0,0644217872436297;-0,0601002191015963;0,115022802194757;-0,0393999621269262;0,0191828821547879;0,103949925686855;0,133690262675997;0,00694825797059111;0,0121082055716541;0,0130856631476728;-0,0662097155323659;-0,103816539615014;0,00955070519109475
"Rock";0,120302787175074;0,0648832059991773;-0,0801594263929087;-0,0732038221468962;0,0447606381779285;0,761731626722175;-0,0182338683867948;0,0451069576841892;0,01702642370449;-0,035436103025187;0,0138854005709482;-0,0317584977033857;-0,0858652870291076;0,00788680429069767;-0,0138837669310777;-0,0154597988042167;0,0206780366088497;0,039998377151691;-0,0366660517824893;0,0521345093447251;-0,0391674352607448;-0,041028819724856;0,0294558393910635;-0,0374524335726824
"Metal.or.Hardrock";0,0507372300784241;0,169439870323906;-0,196209882562817;-0,0184216306373196;0,0350638400222658;0,640391450934354;0,00712484999922793;-0,0361342452273166;-0,00893744588978312;-0,0312601899669429;-0,219862554201042;-0,0500329216721673;0,0508539146165874;-0,0210870930326942;0,07412436489241;0,0390685612487243;-0,0184953925740165;-0,041921010369416;-0,0367206370511915;-0,0452248481148968;0,0353197143508921;-0,0824482559889112;-0,0430531109807536;-0,0280560738753454
"Punk";0,0189569780620911;0,0849733193465146;-0,030230900027096;-0,0122675838419481;-0,00486100187043948;0,707764798624404;-0,033240351900816;-0,0188696030323203;0,0131027721793889;0,054039025937361;-0,132313390398649;-0,000506155679272328;0,0764382961645309;-0,00565292945081699;0,0213325836707952;0,0719189682465579;0,0613399493717761;-0,0314739406552989;0,0031209172750187;-0,00333185997450602;0,0139942183962029;0,0731745751633336;-0,0998802439123007;-0,00435944597349681
"Swing..Jazz";0,473879567908333;0,0930380571789204;-0,082775237031082;-0,0176119196099894;-0,00693592560758431;0,211016059299199;0,0159961034120366;0,027984702035284;0,132277480142799;0,0570699430642178;0,140611646693207;-0,00555036186476079;0,00496989859071809;0,038368179412321;0,00893319372222893;-0,0439355354722822;-0,0567021804690348;0,0407969418945811;-0,0270947281929032;0,109057577984075;0,00692611559580617;0,0928232681126297;0,27520204817241;0,0342680700139353
"Rock.n.roll";0,301597867858176;0,0520761211096119;-0,0762513750548242;-0,0432224547264324;0,0357898306903161;0,524066325768086;0,0721360371514708;0,0455756007953411;0,0603065320232112;-0,000729084455246134;0,141562089570271;-0,0181669553013051;0,0291472649514258;0,0457624482289571;-0,00998231928009355;0,0477974759903365;-0,0125965263361755;0,0240642311685966;0,0208241615930881;0,0424153119327129;-0,0714979555101898;0,0176537432867728;0,341374980189063;0,0722617027424135
"Alternative";0,298113090580208;-0,0307495060969742;-0,0808148688065379;-0,075535084112428;-0,0282524005352888;0,428229826891211;0,027293265020538;0,0649477160612585;0,0934881834013884;-0,0191226153947858;-0,116407373243444;0,00882597602656947;-0,039853765582412;-0,0409096915378657;0,0330016170747113;-0,00401703912475612;0,0205419185334853;-0,119722264635236;-0,0237340638095503;0,133601062754822;-0,0870183728601851;0,292032516748921;0,172642885297248;0,0580073018750364
"Latino";0,268375551875545;-0,0915637486070441;0,0570290819085031;0,0490306923698807;0,0951501556528833;-0,096036319821859;0,0759979719013595;-0,090995002753002;0,019611427245833;0,0564910754316736;0,518984314058971;0,0271585184924317;0,0728810479057788;-0,0228571235244118;0,0195828113750734;-0,0956399170695827;-0,0908769684310757;0,152552796990958;0,0645609861051022;0,111499699797147;-0,0417296083782553;-0,0750206789114662;0,172270650918524;0,0374508346431086
"Opera";0,71875062694637;0,192181600108565;-0,071414407244893;0,0308557475094147;0,10287765291503;0,0277516265978526;0,0155282808705905;-0,0480515400064358;0,0573576700474767;0,0873681501458083;-0,0214020504455759;0,0395545564863974;-0,0805978443148634;0,0951887837847564;-0,0191046163708865;0,0175864969951208;-0,0367699023770102;-0,095637504935663;0,0478974505128056;-0,131852213306883;0,0472174162625398;-0,0812002305448524;-0,115935074071381;0,0937932872502508
"Horror";-0,0765035753860286;0,0938430731863244;-0,0187874024115385;-0,0457191975582617;-0,0478997952158123;-0,00854605365273224;0,0192409446149964;0,102634132126006;0,00100285763304333;-0,014796357456859;-0,0431617398747165;-0,0631451325438984;0,0640610162590026;-0,025801246565235;0,00627799094773195;0,72918606054123;0,0368569375967204;0,0843300043539936;-0,0789152772591656;0,0194921631468518;-0,0295875463578728;-0,0112627215788762;0,0583269616003734;0,0398252125585003
"Thriller";-0,0419116628760776;0,237225852692043;0,0136656385688759;-0,0345718713211151;0,0137968658743443;0,12203681871684;-0,0210440273874782;-0,0113616136855241;0,0629421676993745;-0,0641761377150386;0,0689997723497115;-0,0545954876927903;-0,0316732825500651;0,0282516260242219;-0,0259432607709211;0,670848541185571;0,0256392757522426;-0,0698508324089511;0,0302271229864329;0,0130165090427335;-0,00547226245672574;0,00576297281716709;-0,0689348971410072;-0,0643127949332391
"Comedy";-0,102070177816345;0,0426168723949408;0,107477520872779;0,0583841683234405;0,00289140642760251;-0,0572083765699196;0,0192153585377845;0,032343042871283;0,0145113371868146;-0,0223240625402868;0,125248532305636;-0,0362088271610017;0,0412678957540364;0,125524833372975;0,018671380384404;0,0582612599433542;0,0932086202416286;0,595222742153155;0,000710556960879785;0,00852230416366358;0,00347793566482076;0,0171395884078854;-0,0127538489847406;-0,0355798640342792
"Romantic";0,175392831292602;-0,300338508426858;0,31054565301509;-0,050720407692209;-0,0165306917648068;-0,0353509741701406;-0,00692140824916586;-0,0366849223581424;-0,122669729993741;0,062396826783965;0,201833009068614;0,164859118820898;0,0774792598064255;0,0796071487873993;0,0313265235492243;-0,0643987201633236;0,0702788479135527;0,426126083536451;0,0654753576665446;0,0599018836913592;-0,0228148624747118;-0,134953060719354;0,0252539953517233;0,104956066837657
