"PA1";"PA2";"PA11";"PA5";"PA14";"PA7";"PA8";"PA6";"PA3";"PA16";"PA4";"PA9";"PA17";"PA18";"PA19";"PA13";"PA15";"PA10";"PA20";"PA12"
"Horror";-0,0801089986450658;0,10111182197505;0,00317101370558617;0,0321092458585426;0,031481887915998;-0,0472539724231633;-0,0048112265268033;0,00871030713194038;0,100398134413864;-0,0376305556355417;-0,0382996043970977;-0,0723041283897711;-0,0226689863490409;0,03724740736983;-0,00183266192976707;0,0640874250278848;0,0632862358256753;0,672635954551531;-0,00816218416277345;-0,0957830896881132
"Thriller";-0,0492792601680985;0,212300951559352;0,00337091755698505;0,0314164043472672;-0,0343944707247122;0,0158200606160935;0,12161909239886;0,0703915350274101;-0,000662785912772769;0,0673878428872404;-0,0371348574236658;-0,0454417232284133;0,0226574342397997;-0,0478765943112515;-0,0333035521354571;0,0323930220622256;-0,0314778945069597;0,707912214356902;-0,013874234465901;0,105253325368096
"Comedy";-0,096600513253652;0,0133955693302878;0,124513008083764;-0,075989151511961;0,00573371615705492;-0,0149966964451321;-0,055916723656284;-0,0165106174343875;0,0924709936944332;0,165926210759619;-0,0292341981292565;-0,063595983377584;0,150365659145073;0,365204179864972;0,0287640637171452;0,194428765934682;0,0748112431626885;0,0446105927272253;-0,0591777649522355;0,0238126043362858
"Romantic";0,178868129735964;-0,272563546682211;0,297191794880832;0,0356284631446582;-0,0069938860889689;-0,00939121801225649;-0,0387546193275028;-0,126229853508341;-0,0326665047865611;0,236320554851186;0,0722152561026565;0,147077451921598;0,0970855446465133;0,38360377794847;-0,00626243074603686;0,121232795296403;0,0701960556298818;-0,0884332752226796;-0,0858799807622344;-0,0788070389884167
"Sci.fi";0,073561134605826;0,460690688853287;-0,0840290070385146;0,0814772228070969;0,055280067196793;-0,0282119129442724;0,126692942879521;-0,0784890555223431;-0,0343971972341204;0,0413069577084998;-0,111197593598507;-0,00168110919126203;0,0148235008497313;-0,017020118419241;0,164768222049445;0,194287405198883;-0,0130071075137422;0,140661221083273;0,0247770535954666;0,0508241832000988
"War";-0,0491296208613796;0,533702410393595;-0,057135754222881;-0,0238702595180162;0,0547160283901539;-0,0182382845211117;0,073995016329287;0,180706980963782;0,0788217135616356;-0,0791647876594988;-0,0737543501044146;0,081084359787228;-0,0663540102741918;-0,0316907763058141;-0,0047368541401175;-0,0359906166971998;0,0584157199821759;0,0939691840146566;-0,0249123447941071;-0,0793415334889822
"Fantasy.Fairy.tales";0,277796588507127;-0,00266727760495631;0,120442604164097;-0,0171751093792032;-0,015630357207422;0,0814483607093059;0,0526336242557424;-0,153904722067652;0,0124683292311757;0,140978660511583;0,0494880635785561;0,0170812876760691;0,0682354405402644;0,421263638270585;-0,101980369487739;-0,0088041896697191;-0,0379825017517644;-0,0798794773865803;-0,045468898533982;-0,0156683460367062
"Documentary";0,164506248072807;0,48622740504079;-0,124491669336652;-0,0412022176046974;-0,00391873730375145;0,152092919195858;0,00562600165984526;0,202718252635543;-0,0766834230639037;-0,115106904578026;0,175375016924593;-0,0258484419744935;0,0528534487588126;0,166420309565827;0,031881012729547;-0,0888344566797432;-0,0207500903542056;-0,0893423571548255;0,175708399990244;0,0132480839596253
"Western";0,0744340459483625;0,514807571696873;-0,0765254007407686;-0,0802902810234932;0,0480551631777526;-0,0440838824707475;0,133357350844728;0,0385703066693188;-0,0397472661831052;-0,000151304346329868;-0,0329548479809999;-0,00877781099762674;-0,031684355895044;-0,0624731395693963;0,0985983961510336;0,044176588610788;0,122530125430102;0,0168277705053847;-0,0213976588246699;-0,107712422560041
"Action";-0,117342550833593;0,515714689779229;0,0488171858469905;-0,095771640342715;0,060621994986021;-0,0944082217162938;0,0148343809232853;0,068468505963136;0,0163056255251644;0,0350663282796008;-0,116865873972728;-0,00745103270546752;0,0902147849328695;-0,0237597112572411;0,0197817471957231;0,181346285630599;0,0311534387444687;0,127694623284936;-0,089274469720063;0,15556936197845
"History";0,25458004136036;0,280394694305766;-0,0661781660659494;-0,00611000854445808;0,0493193972617582;-0,00514701786965157;0,0343261353575421;0,509575494106737;-0,0201473124374766;-0,156678365081413;-6,34166345007335e-05;0,034143631568841;0,0027818575001993;0,108171907936587;-0,0405376741267772;-0,154965319855152;0,0464617426124241;0,00257581773920023;0,0718218663096233;0,0344605794227049
"Psychology";0,28652469212593;-0,0994370148639229;0,0381519434012441;0,0416261935374395;0,0752219528552419;0,118336233390243;0,0341576186924038;0,277969818298942;-0,0216501246907096;-0,0775340587483522;-0,0823598253542477;0,0759492067490997;0,0819746716838674;0,219501730568311;0,124641504982097;-0,0792637086453223;0,028340417846512;0,0508266108333192;0,162589519625138;-0,0548967253361127
"Politics";0,0811481162760632;0,166853317853605;-0,00809200543088781;-0,0663026101351136;0,115171147698977;-0,0524638826147488;0,018253071804422;0,681361908942565;0,0307464007503293;-0,0527213434113111;0,0457357983337753;0,0634015026875998;-0,03855975819719;-0,0795650461801445;0,0809826826698112;0,0318034473172656;-0,0195889791477097;0,0606796314106936;-0,0761931322050288;-0,0172311076155811
"Mathematics";0,0116939584831074;0,196717465296948;-0,161256355410514;-0,0543765402380938;0,00665936191711475;0,0785060330680581;0,0474506934293115;0,00863930494646123;-0,0528888241765327;0,0792129243459525;0,095064780278099;0,0350695491039822;0,0486238285577548;-0,0198214552851287;0,579653735084606;0,179186635828372;0,018189038797942;-0,0105718944274138;0,00425879413695965;0,0071662327898965
"Physics";0,0892435390296649;0,339612484936823;-0,173543385467705;-0,0635679220618022;0,011743818560722;0,252487933193496;0,0311613835382274;-0,00381269642477118;-0,00110093122572536;-0,0139365421822044;0,0899970286696078;-0,0278687093780405;-0,0137522338375334;-0,0916360124982185;0,663322483963858;0,123087554844022;0,0403177768437755;-0,0411255082368878;-0,0444987740561539;-2,57001336353095e-05
"Internet";-0,113605440658685;0,161291738748117;0,119122558872097;-0,0184876954550545;-0,0403593153007653;-0,0881153639294232;0,0484221957500786;0,0948351238861896;0,0614322418816817;0,0358114179791226;-0,0577791234123471;-0,00323978346723103;0,00574753778962264;0,0858348945452118;0,0888819838328347;0,570728993786243;-0,0770007388998998;0,00329169372634516;0,0405698011512919;0,0057194383979137
"PC";-0,0455037537564375;0,382991722263893;-0,0876080542650707;-0,030881044559657;0,0407536727992864;-0,0666670054224816;0,0565541676561612;0,0172282974541647;-0,0148657440239759;-0,0604206271998067;0,043489178966289;-0,069567842003909;0,0416300915500489;-0,0863438005572417;0,229812245724399;0,592514440421017;0,0582663813335464;0,153572660524741;0,0108640671175992;-0,0221613616386796
"Biology";0,148119621727102;-0,0416042240917059;0,0655987029799257;0,0301254722938251;-0,0625198253690085;0,834168700630053;0,0192587032141429;-0,0251078068691608;-0,0184427490338134;0,0587120276526907;0,0620765310784704;0,0698906723591592;0,0301991547820229;0,0847096505876874;0,061300893174074;-0,0500462062536159;0,0415520053742272;-0,0191821714252043;0,0445252533029535;0,0338747383690085
"Chemistry";0,0490629103239173;0,0498745975893755;-0,0225755446513499;0,00523288052679699;-0,0340685065364138;0,748922243091775;0,0323927958051638;-0,0824596207853146;-0,0663785233932251;0,0624202635075813;0,0917644546541395;0,0193413734842393;0,0139641181792099;0,0179278993305687;0,151863177118783;-0,0897338388601705;-0,00266613330834291;-0,0297142211914748;-0,0328432100609214;0,0193737347227105
"Reading";0,500747749817205;-0,234863683905956;-0,00247452702627711;0,088052322622137;-0,0315817476298154;0,0788767291566084;0,151702094792002;0,199401059598697;-0,0714673364423453;-0,0208273089659228;-0,051089652665451;-0,0201138912864137;0,0578164321296545;0,140353957646562;-0,00853605525579003;-0,134892063667544;-0,0756960991889626;-0,0727801544549749;0,121653838220222;0,106085890563479
"Geography";0,111511021126701;0,0995121725344167;-0,041069123467319;-0,0607872685817703;0,000769344542983795;0,0592712282199728;0,0161303904224457;0,403077747596611;0,00750128503750692;0,0325826770870763;0,0865503110325499;-0,00926105161226261;0,0155296182799236;-0,089537071541413;-0,0385722971369221;0,0734867604293271;0,164607693027761;-0,0612455669408088;0,192960406880148;0,0560590182521217
"Foreign.languages";0,25875932784514;-0,112144411216162;0,143748936280608;0,0147137372643427;0,0976943207048432;0,0380445626226656;0,131129443476721;0,243308664977127;-0,0187335540484989;0,0811141954634927;0,0642899437950896;0,0401487837082696;0,0519211962609733;0,0461616373961953;-0,0633200414050756;0,0927329138708198;-0,00881909583452443;-0,0735323803356581;0,334483425749816;0,00369479645864883
"Medicine";0,152827835902194;-0,0452879569088394;0,0184603713934164;-0,00101309534739838;0,000659848557956652;0,80731989208612;0,0198194125540738;0,0725898402876502;-0,0472901785469298;0,0269142258481907;0,0549229289675979;0,0838071796053568;0,047713737189288;0,0179267815955542;0,00211589277493014;0,0118217223741734;0,0668059659487567;0,00750685858344516;0,0151200726846954;-0,0418441196169129
"Cars";-0,15367470830657;0,39631239030216;0,0556741541883255;-0,166251392952723;0,0630519674526838;0,00371960026520087;-0,0281375278249746;0,0591875879761615;0,156601385247586;0,0658556258198146;0,0077800916973299;-0,0224795014287836;0,0702351282019013;-0,160626384054301;0,056655308138156;0,245414646359113;0,20868049279904;0,11326187103991;-0,117894241294051;0,0417141066562123
"Art.exhibitions";0,628681033815301;-0,136025805669218;0,0896183876523061;0,0549415165944067;0,0483799948964425;0,0165188506579052;0,0585282853458214;0,0957183893993493;0,0869040763037018;-0,167810583257323;0,0856425872744465;0,0547533290905432;0,0492917620116688;0,0521533438903622;0,0799862821756289;-0,0557441651479586;0,164411990668287;-0,00775741090175443;0,229105253317905;0,064204759497697
"Religion";0,307745831027523;0,0171566361665745;-0,0883882705857063;-0,0100611968733732;0,0440041566563081;0,110611799052607;-0,0389524103338255;0,170377979782166;-0,0875965994845112;-0,0474647871204512;0,0115692929651894;0,571541266014015;-0,075691531780146;0,0101799097022233;0,104227585301282;-0,00316984227693378;0,0248497726650015;-0,0263577285249425;0,0274557526195302;0,148095116024265
"Dancing";0,263225442307609;-0,186498386781275;0,175224968417544;-0,0136004751008362;0,116331481144341;0,13507988236454;-0,17425109567168;0,0566697206435617;0,042664481647871;0,253913094004907;0,0422207601276348;0,11629684546035;-0,00310492357515127;0,149913823304715;0,0204786224654365;-0,0606283132734362;0,349761819143282;-0,0846648336686327;0,079400849289171;-0,0998928779700589
"Musical.instruments";0,411701995933343;0,0207560946550674;-0,076026447195135;0,0812383145101716;0,132216509021048;0,0423766506941263;0,0988484381192073;-0,0227019039536931;0,0107342359937106;-0,131113641039385;0,0853449051368417;0,152728657928824;-9,65376456005419e-05;0,0479952173633462;0,00894374427881097;0,107370345045091;0,190130226256569;-0,0201880263073377;-0,0158672863265144;-0,169383453422453
"Writing";0,376131894580453;-0,113488123945733;0,0137258828930575;0,238740627865773;0,104385354312642;-0,0257827415009264;0,0417643872196106;0,167677268102533;-0,102648525724895;-0,134973691426821;-0,0410448803816789;0,0546209907895823;-0,00735471771076619;0,0763957561532922;0,10111987362135;-0,0150530709415588;0,141560429370459;0,0422139970418668;0,0624714116920132;-0,063659021075443
"Active.sport";-0,0432069249369457;0,207188197594797;0,0727177999412996;-0,15619110103075;0,147497525618228;0,0630691776199023;0,0318078588039107;0,0833568418595334;0,0463878174813629;0,0535510594991709;0,0153685706577591;-0,0611286320922627;0,0551783300653729;4,1327709271249e-05;0,00792758237755333;-0,0479110041907536;0,591008516435728;0,0214826477802967;-0,050778934924991;-0,0029551534558639
"Celebrities";-0,0270672575040806;-0,177935286074494;0,452503175591822;0,0402080164210311;-0,105028689470518;-0,0446116503370654;-0,0484297751139484;0,0857644835195064;0,0235469399827063;0,252297680596065;0,0344110947060243;0,0308039922473267;-0,00830879246640055;0,109979694889911;-0,107728033962589;0,136927172288335;0,0746024434891699;0,0669163548463284;-0,0817576887152776;-0,00392834131737737
"Shopping";0,0626609357930126;-0,18888229921376;0,766330632425377;-0,0264303971401809;0,00439588395762797;0,00381025446021419;-0,101330153395325;-0,101857609655238;-0,0177404307806887;0,128760919275444;0,0810878751905483;0,0221017747620956;-0,0294434914679226;0,191302121795572;-0,0785517516373202;-0,0172073647001269;0,0717342379651026;0,00666603239505407;0,078304497680333;0,126480953232013
"Science.and.technology";0,0731138032274571;0,44463664109049;0,00642264799731869;-0,0435096395749393;0,0580172949583265;0,211692541240116;0,0920002580329394;0,107961492115707;0,0656333924757575;-0,0594053256712039;0,0781625961402345;-0,103594821525759;0,112690695499079;-0,150411465097052;0,259779709280986;0,236163833097058;0,0137782597752253;0,0624078062684093;0,0744063623405663;0,0158823157213629
"Theatre";0,652619923661579;-0,209674195707462;0,0970375772204889;0,0308667365901111;-0,0107808828516503;0,0637006878486608;0,0333367330732966;0,0934275405457387;0,108191201961644;-0,0113861571944824;0,00903408467286657;-0,0154689856025154;0,133522218542408;0,0918813893517217;0,0832271221640947;-0,13138798423121;0,0158013681566627;0,00363350997477081;0,0427821478771584;0,120941928127044
"Fun.with.friends";0,0697842476573829;-0,0269263629056338;0,103274387489819;-0,143821627109205;0,164724117842709;-0,0129911334986553;0,0483687577160825;-0,0163299695626268;0,463683311723869;0,12259466427635;-0,0382220627779585;-0,0224310928251356;0,0497305010213035;0,166139668342621;-0,0146701533438004;0,0180243861874341;0,082692457841582;0,0336535580776256;0,0674656946792346;0,115346298330635
"Adrenaline.sports";-0,0315045851621597;0,215606493172757;0,0623568330873926;-0,0481718374374088;0,262397371843684;0,0587189667318549;0,0257987539983495;0,0676191332950829;0,234784289187858;0,0445727269405931;-0,0555680326751823;-0,0538139776226153;0,0470899780851348;-0,104942382098483;0,0661204505132529;0,0205965627083457;0,433296920268457;0,120202800269032;0,112471038365703;0,0534716017713717
"Fear.of.public.speaking";-0,0242591426130288;-0,0724886236903835;-0,0558919702944536;0,188565373637606;-0,589964524287477;0,0376540516886632;0,083934512207035;-0,0945804549823121;0,00607110295570464;0,0610680996419661;0,0112065365608136;0,00338577650615409;-0,0144095295895491;-0,0214959262127826;-0,0777858302361921;0,0678569333147726;0,0692684423535095;0,0106782137379161;0,113277330451811;0,140551787932533
"Healthy.eating";0,0666341693777869;0,0212983767906047;0,158340517399062;-0,120813548470414;0,0687694667034031;0,150939498392834;0,0087762278953262;0,0470420449716984;-0,0734716999170435;0,0284514332231847;0,269643519826798;0,0919819377018274;0,176748020524275;0,0245768255642783;-0,0350131983508939;0,020907048934098;0,155030047046324;-0,0689407610440439;0,149571575506605;-0,0193818844698852
"Daily.events";0,0843661699840082;0,0266786987311315;0,0996820044328454;0,00106710075983687;0,0758383919948164;-0,04728365371956;0,00657774841803936;0,555163557920052;0,0476617562046239;0,044051709322109;0,114026914255322;-0,0302716226207544;0,0949998848733213;-0,0562208895449645;-0,0310000585219308;0,111575647592512;0,00599759266517531;0,0483519107116449;-0,0298098892703;-0,0226599669215304
"Prioritising.workload";0,0477365518532978;-0,098352329644141;0,0636365131443165;-0,131173785930845;0,0115781709820967;0,0339639731484927;-0,0147981060075045;0,0407483805721106;-0,199107447376027;-0,0273946847970738;0,559200154580905;0,0140693858103801;0,257941634513957;-0,0322281413757985;0,151919751847264;-0,0276789023340033;0,0533317476034468;0,0557574692120935;-0,0722701292319554;-0,0541799699452925
"Writing.notes";0,200555919920732;-0,186632639807907;0,078401022745832;0,0496425431389989;0,00608269722039507;0,0172379027430377;-0,0431867274881574;0,094399338052272;-0,0591451528357373;0,0537199779509143;0,442051784457847;0,0598381847006184;0,189938261393561;0,110957362453938;0,0814866694606083;-0,031957816486233;-0,00274731002052834;-0,0707404229888741;0,0286406119287895;-0,0445382748350114
"Workaholism";0,208894261292705;-0,0104856770880168;0,0425881454426319;-0,0319229768269753;0,0859646578613406;0,145468090883298;0,0427867436083772;0,155231475200643;-0,185490586379542;-0,0175304759154488;0,436565203552829;-0,0258630120860914;0,192283657645234;-0,0816881788782492;0,17694364497624;-0,0537700784561999;-0,0553542210504013;-0,0454360134417096;0,145094750021192;-0,0455265264520097
"Final.judgement";-0,00230987367106429;0,00714296910166432;0,0637040195792792;-0,00338012501711889;-0,0510989940880557;0,0492653967175156;-0,0126050233183757;-0,0240438116673311;0,0320522603634241;0,0620260774177205;0,0475715885428274;0,60289253475586;0,195418573127857;0,00795802020459422;-0,04565477454152;0,0207804277820365;-0,044814913793222;-0,0422564302320027;0,00844171948684538;-0,14863905397511
"Reliability";0,0932576680761903;0,00909122487712972;0,0636953261132365;-0,14505951104513;0,00252121780240508;-0,0110400344337027;-0,0343876985122451;0,0699556487258732;-0,0967113898725051;0,0598967272784526;0,189216549941326;-0,012764992154294;0,562073360288259;0,0512336603776199;0,0645945399378421;0,00472251504560279;-0,0321223926707344;0,0363485038523489;0,0375210534932177;0,00892229424149108
"Keeping.promises";0,0668895685827676;0,0150274539466501;-0,00970583899594701;-0,00167222785682675;0,0145512025909281;-0,00898288406903379;0,0341668708240674;0,00866241019659214;0,0171983393251012;0,0433831173444064;0,0834832176679638;0,0515784604784673;0,549584174137326;0,0225020748912656;0,0566303667076367;-0,0128987302062667;0,0928408888809985;-0,0297332153962995;-0,0216965252660321;-0,0323655890207249
"Decision.making";0,0432234702921517;0,0252102423711287;0,00833260480894277;0,111691493938419;-0,292501007750435;0,0716795505417026;-0,0147898541581612;-0,0635509453274199;0,0181771708995021;-0,044554138681718;0,248522941303548;0,0813053017130309;0,196679512266189;0,109601566888899;0,00668574072683244;-0,0288052772879402;-0,144590216214977;-0,049853148733272;0,0711707491041021;0,0293881451610352
"Self.criticism";0,115592929919844;0,0496393664756018;-0,0316847052155034;0,35420202995237;-0,0594759602493681;0,0157118126228375;0,0594921344499541;0,0672693922916856;0,0297051401039379;-0,00555408192684409;0,108023448510757;0,0280199991437128;0,208934235969891;0,0616594139360916;0,0274913309621582;-0,0694305735379809;-0,122591945215132;-0,0937508538839525;0,161418402473329;0,0439289032437175
"Empathy";0,112910788936934;-0,112524781160099;-0,00468537002139045;0,00320287772613015;0,0256095043381194;0,0569810394530245;0,0439769894415989;0,0121278069989439;0,0277357241181394;0,0956545205886519;0,0330069085218964;0,0922650719759734;0,154585029472156;0,322028021035821;-0,0463857284705809;-0,0724380614697689;-0,0421001838743104;0,0695469641576561;0,128635461052178;0,0147314353389926
"Borrowed.stuff";0,0366279919479824;0,0467901506803469;-0,0158384452002996;0,0293321303669549;-0,103039425336217;0,0718845747379934;-0,0103452616221635;0,0115772274684902;0,00275056941949477;0,0348650018107639;0,123157349525962;0,0313032989967212;0,399557619248875;0,118352658002986;-0,0989841215730283;0,0800493429404346;0,0115256802264922;0,0203945687916909;0,003422735347179;0,040828220149627
"Loneliness";0,0241942392708199;-0,0231616005878495;0,00133089066584364;0,63474523900296;-0,107645989764035;0,0449756325424634;0,075299299643442;0,00806667593499691;-0,167040958227045;0,0132048781365786;-0,0804076559879962;-0,00649848666061949;0,0797468963482742;-0,0128173296501399;-0,0391852012294458;0,0852824837137481;-0,00241980944491327;-0,0373580278812762;0,0813534157890043;-0,0806008051874165
"Cheating.in.school";-0,109786430192857;0,068084251282821;0,0325991083993354;0,0112283344056675;0,036268331135549;-0,0908225911587309;-0,00421767426839368;0,0040328283249165;0,357319137844977;0,0544874723991788;-0,096963547933008;-0,0730752833989751;-0,234935045352155;0,084637953324742;-0,245090343218503;0,0624267621419163;0,0823304803638319;0,0881030505108465;0,0025593812306823;0,129755318012644
"Health";-0,0406625856551576;-0,065150948851409;0,191375104938165;0,160488571750852;-0,177883551458098;0,0887557710039057;-0,0380546297213234;0,0821610139825086;0,131377329683617;0,0903507577588114;0,303355485209801;0,0771745607306209;0,11088709467181;0,100900142902297;-0,107800732007121;0,0956415084544841;0,0274143406169764;-0,0267644306426961;-0,0894543452029138;0,0271667982351378
"Changing.the.past";-0,0111647245586575;0,0814364336681202;0,0785312372346803;0,497271522183178;-0,102123924634446;-0,0184325294962832;0,022654109800889;-0,0658753464511576;0,095095925905686;0,00875213142162653;-0,0284955475715051;0,0739014639210662;-0,0396974102779962;-0,0148073335415365;-0,0589763122326235;0,0300008443753463;0,0592779587038231;0,0617407577888358;-0,053017414399655;0,0303304366387614
"God";0,0756268809686375;-0,0346084287197461;0,0650869400992505;0,0049819701628279;0,00990352915307579;0,0249991237264459;-0,0508852919003139;-0,0262404984355417;-0,0274991827336615;0,103752788353957;0,0559666856845123;0,777496350728312;-0,0201848827091742;0,0826081212986886;-0,0079220630182576;-0,063430493539048;-0,0297575211015298;-0,0676287884606098;0,0100891951714408;0,0675536448307757
"Dreams";-0,0457092383794868;0,0839178166347705;0,0256138977168968;-0,274835460107109;0,0941988647310038;0,0247117528339636;-0,039958790802715;0,0462722565911862;0,00507486896728173;0,0248155463653275;-0,0115463793644747;0,0195769657915433;0,0252016191096782;0,049636509498915;-0,00727069369509643;0,0280802514574839;0,0234735886684414;-0,0999612984229379;0,0296998309552624;-0,016899227918151
"Charity";0,245249486681726;0,00183345235768872;0,115449453419269;0,031256191356305;0,0727686949897045;0,0836432771735934;0,0298792316397741;0,215802771802886;-0,0297336668581789;-0,0177831621110139;0,0585166917612773;0,228193986958706;0,115862608816368;-0,100829005159659;0,0304465736400754;-0,0368361321438975;0,124001417206887;0,0342118706708887;0,00523432821821458;-0,019533165451348
"Number.of.friends";0,0493570011859813;-0,0444270115158228;0,0785663675442606;-0,288426127769841;0,388502408959769;-0,0634198946311041;0,01974475407852;-0,0148683148060619;0,397085471758041;0,0928494066443411;0,0926541606859771;0,127666984227558;-0,0096278426897157;0,0324332011721016;-0,0788153829990045;0,0253794808747069;0,124622357854038;0,0369224897538648;-0,0193615975847666;-0,0208608393372105
"New.environment";-0,00300726443594732;0,0742507925999274;-0,00109048869806857;-0,202229666881356;0,503966480162442;-0,00219042735000428;0,0255439843002024;-0,00528208922108476;0,0422579311936533;0,0275077690771398;-0,0844136668936559;0,0069318740386858;-0,0120162802567384;-0,0155836194796989;-0,0573708821186651;0,085276769651364;0,0509442188828605;-0,0216181698600985;0,15977714159513;0,13298057388679
"Mood.swings";0,0274937435536339;-0,188381849235479;0,0017763950182044;0,543007293599148;-0,0472114600374857;0,0137103097291064;-0,0675506630294638;0,0101548583574675;0,0447906261400075;0,028214596569733;0,107245825329663;-0,00454395375228886;-0,0604408539900656;0,0690055608275237;0,0546295406454552;-0,0738638668174428;-0,0364151896315843;-0,113377245305066;-0,0633389540891708;0,0508799271028353
"Appearence.and.gestures";-0,0184298869331402;0,0026483199864245;0,398627911706894;0,0989983301538517;0,129812578017285;0,0697579001202378;-0,0712696282472646;0,120310800423627;0,109567653467143;0,0767280662208447;0,130282403045911;-0,00510394953491424;0,0712658866988007;0,107621673650867;-0,119662996121026;-0,070038469741321;-0,0966717510555763;-0,0221878614121895;0,0118198959799595;0,00440093056415783
