"PA1";"PA2";"PA11";"PA5";"PA14";"PA7";"PA8";"PA4";"PA6";"PA16";"PA9";"PA3";"PA18";"PA15";"PA19";"PA12";"PA10";"PA13";"PA17"
"Dance";-0,0948940270502043;0,0744241354479635;0,179078536764292;-0,071115213115935;0,0320818703190702;0,0616047263144046;-0,164363274188269;0,0451768417316896;-0,0690269413507595;0,509713266204252;0,0963069243509053;0,1122822685884;0,0705231181243726;0,127701368008989;0,0553823664284157;-0,0257909571912811;0,10503081395564;0,0838624783445522;0,063751589505205
"Folk";0,37520159186796;0,0195109404053701;-0,148976975211468;-0,0484139736911599;0,0429374850951273;0,0731017390418185;0,0643905632685751;0,106309216613134;-0,0387089904675453;0,210245022503935;0,189970144797781;-0,0821928326414669;0,0283355708781813;0,0151975898220774;-0,0397751237662047;0,226713446716213;-0,0531320889709549;-0,0496699862402175;0,12638739189742
"Classical.music";0,626405687453045;0,162631385778431;-0,0966437778269323;0,051465860313479;-0,0182704416033426;0,0694055319500795;0,121580813003718;0,0136260715820057;0,142258134781199;0,0574520750177263;0,0765369114473853;-0,0621481893580877;-0,11099767194516;-0,161706365550694;0,0639913227826872;0,247018808126816;-0,0540714431111213;-0,0335701257534023;0,0677155023946565
"Musical";0,537731859688561;0,0236376407315613;0,119548153999955;-0,0365852232170405;-0,0394862770413532;0,105442959234575;0,0274817503098057;0,0215876371788866;-0,0320500891455893;0,30704720255352;0,02110449828037;-0,085882821772905;0,0618422659394812;-0,0744304256176343;0,0708680811822931;-0,12005505422581;-0,0526168640714532;-0,110097723947703;0,0571083445350761
"Pop";-0,0575942612395654;0,0348283637941434;0,306774459633466;-0,0207847158941757;-0,00146579238142956;0,0554997796768125;-0,100383392869216;-0,00850686061754417;-0,0292785212506102;0,498870180124312;0,0593491001329606;-0,0594590744781677;0,149150265588717;-0,0979309420157694;0,128094234699429;-0,154984311522131;0,0377815018164579;-0,00252656508107041;0,0580803193485826
"Rock";0,118773219602119;0,0659298783973914;-0,0735727745160472;0,0419074633888121;-0,0243627889837725;0,0510737142780306;0,753209395982524;-0,0765182346182796;0,0198040462373401;-0,0138971311758131;-0,0334584374333363;0,0223558977383448;0,0375960300580404;-0,0909864585544599;0,0271841299356763;0,0024633940469569;0,0129121238871628;-0,00821238413438003;-0,0305999057373184
"Metal.or.Hardrock";0,049074478238788;0,153642362592476;-0,221148688230577;0,00697901043478517;0,0221473649708893;0,0499974212122785;0,621508146201874;-0,0200484346183301;-0,00514565551201317;-0,23524187770357;-0,0497977495183147;-0,0324783651732028;-0,0525908008792946;0,0475055584831833;-0,0483249928076411;0,0407877036911012;0,0471505897448072;-0,111583616901583;0,0131449700154025
"Punk";0,0342403875899991;0,120434905612135;-0,0503552993234652;0,0085428528145483;-0,0212235924815773;0,00555897849694114;0,672782015166819;0,055326416363857;0,00762602499435759;-0,191678484754594;-0,00614535913331202;-0,0227757071622138;0,00290400931700644;0,0559709414282168;-0,0294448687459407;-0,0318715143464347;0,0786673488194881;0,0761691053226514;0,078455755727226
"Swing..Jazz";0,447854402590876;0,019019179441931;-0,0904220301736901;0,0270242658061015;0,0174106095126463;-0,0283309064872069;0,259188026059355;0,0444554832080121;0,102246033945044;0,244148221138827;-0,00267678032520882;0,0836763422682856;0,0173294515528796;0,0256978671346065;0,0477370859658231;0,213972874322901;-0,0413742489942087;0,0374944636089835;-0,0712806098933847
"Rock.n.roll";0,269726627895579;0,0226257778668136;-0,0709234401092573;0,0381535255857853;0,0526402603532691;0,01452275576731;0,572363798647931;-0,00616386584151344;0,0446481850340225;0,234722870735419;-0,00494736066105947;0,0765523014294792;0,00286017556251638;0,0579447867046736;0,0748465631100131;0,114699908624857;0,029828318453807;0,0266022329379424;-0,0706237762735736
